edge_num,Node_1,X_1,Y_1,Node_2,X_2,Y_2,length,C-betweenness_1,C-betweenness_2,C-closness_1,C-closness_2,K-core_1,K-core_2,Edge_vunerability
109,115,207.29,558.71,97,139.51,648.32,364.9171,0.054084936202628074,0.11299435028248588,0.000756703127117334,0.0007726203384618699,2,2,0.0
110,91,129.17,573.65,74,118.63,513.80,60.7706,0.10931251190249476,0.04215070145369136,0.0007653575526425372,0.000759416475677476,2,2,0.003629143731306166
111,115,207.29,558.71,114,196.17,500.88,58.8974,0.054084936202628074,0.06347997206881228,0.000756703127117334,0.000768185398041511,2,2,0.0017616854462027224
112,114,196.17,500.88,74,118.63,513.80,78.6160,0.06347997206881228,0.04215070145369136,0.000768185398041511,0.000759416475677476,2,2,0.0004331184486948693
113,132,36.77,482.21,3,-0.57,489.39,38.0213,0.044816860280581475,0.0,0.0007195809409300134,0.0007005227308488636,1,1,0.011357026932098273
114,74,118.63,513.80,60,110.01,467.85,46.7542,0.04215070145369136,0.075414206817749,0.000759416475677476,0.0007592084256661046,2,2,0.003656419822811106
115,60,110.01,467.85,132,36.77,482.21,74.6328,0.075414206817749,0.044816860280581475,0.0007592084256661046,0.0007195809409300134,2,1,0.028423875572133883
116,113,189.71,451.33,114,196.17,500.88,49.9632,0.13343490128864344,0.06347997206881228,0.0007904322832992716,0.000768185398041511,2,2,0.0029831925687955198
117,60,110.01,467.85,113,189.71,451.33,81.3934,0.075414206817749,0.13343490128864344,0.0007592084256661046,0.0007904322832992716,2,2,0.0024611905017570567
118,136,376.17,680.49,129,334.75,445.59,238.8701,0.3657715990604964,0.44080492604583255,0.0009068618047958303,0.0008727948949143939,2,2,0.007670564244680242
119,140,409.42,425.48,129,334.75,445.59,77.3333,0.2669967625214245,0.44080492604583255,0.000861495265495715,0.0008727948949143939,2,2,0.010026119346141988
120,54,1054.93,587.04,53,1033.39,424.77,163.7122,0.28413635498000384,0.18675807782644577,0.0009577982057361738,0.0009299428863978153,2,2,0.0017195777058418892
121,129,334.75,445.59,128,326.13,418.30,28.6130,0.44080492604583255,0.36221672062464294,0.0008727948949143939,0.000859123791547244,2,2,0.015050626957403165
122,128,326.13,418.30,113,189.71,451.33,140.3655,0.36221672062464294,0.13343490128864344,0.000859123791547244,0.0007904322832992716,2,2,0.016572511211277625
123,66,1129.81,570.49,61,1106.62,414.71,157.4920,0.16758712626166444,0.09306163905287881,0.0009471675622124438,0.0009215445033690124,2,2,0.0004993208304740861
124,61,1106.62,414.71,53,1033.39,424.77,73.9248,0.09306163905287881,0.18675807782644577,0.0009215445033690124,0.0009299428863978153,2,2,0.002224383929274598
125,164,748.33,629.40,161,718.17,411.12,220.3520,0.1260712245286612,0.03250174569923189,0.0009409373384222601,0.0008985494214410648,2,2,0.0020857727509555474
126,76,1184.17,403.23,80,1211.66,548.95,148.2945,0.2391925347552847,0.3954802259887006,0.0009090894089540957,0.0009321277743597751,2,2,0.004169843391235907
127,61,1106.62,414.71,76,1184.17,403.23,78.3928,0.09306163905287881,0.2391925347552847,0.0009215445033690124,0.0009090894089540957,2,2,0.0021083294404088478
128,106,1513.02,400.35,32,1558.98,403.23,46.0430,0.051672697264013204,0.0,0.0007108027673198558,0.0006883997411931007,2,1,0.010108046629852117
129,106,1513.02,400.35,108,1536.00,545.39,146.8491,0.051672697264013204,0.07427156732051038,0.0007108027673198558,0.0007494114221629481,2,2,0.005214012361251529
130,150,592.52,378.81,153,630.58,645.20,269.0906,0.3325080936964388,0.16327048816098522,0.0008976845803753358,0.000937718901060753,2,2,0.000549271014714324
131,150,592.52,378.81,140,409.42,425.48,188.9503,0.3325080936964388,0.2669967625214245,0.0008976845803753358,0.000861495265495715,2,2,0.01097652300662973
132,53,1033.39,424.77,50,1020.46,368.76,57.4777,0.18675807782644577,0.1802831206754269,0.0009299428863978153,0.0009161952352771633,2,2,0.005233415705292689
133,161,718.17,411.12,48,931.43,406.10,254.7910,0.03250174569923189,0.0,0.0008985494214410648,0.0007319227363362428,2,1,0.008672239653807003
134,132,36.77,482.21,2,-0.57,352.96,134.5290,0.044816860280581475,0.0,0.0007195809409300134,0.0006563958444613094,1,1,0.008948459718946634
135,161,718.17,411.12,158,700.94,349.37,64.1093,0.03250174569923189,0.48168602805814764,0.0008985494214410648,0.0009024645877446117,2,2,0.0065677070421505295
136,158,700.94,349.37,150,592.52,378.81,112.3469,0.48168602805814764,0.3325080936964388,0.0009024645877446117,0.0008976845803753358,2,2,0.012584148782355309
